x	y
4.01	82.98
640.42	361.34
125.92	414.12
562.12	217.49
391.27	222.26
580.23	244.83
56.44	358.39
642.60	611.06
306.64	161.04
40.23	588.24
239.59	671.65
618.19	347.67
608.44	591.19
585.36	605.57
70.35	1.41
5.33	209.95
320.86	331.18
593.79	414.10
603.63	135.79
577.75	294.04
333.65	181.68
85.41	80.14
324.42	51.29
324.41	663.88
574.47	614.27
124.50	48.12
138.65	227.38
156.28	44.24
368.50	327.21
344.77	662.00
401.29	331.75
462.33	42.77
680.18	593.70
119.75	522.27
546.76	567.27
41.03	506.27
88.20	246.43
501.75	334.03
321.92	122.17
104.05	490.66
317.63	651.74
207.35	395.59
693.04	193.49
431.34	35.47
391.06	258.19
197.57	30.16
695.59	673.94
416.85	228.96
509.26	282.68
467.25	459.12
196.82	54.96
502.76	462.40
186.60	74.11
144.79	28.17
298.75	563.37
69.66	498.94
334.19	197.37
349.04	195.20
35.70	145.03
635.25	213.95
584.17	626.69
27.54	79.83
618.26	493.40
470.18	223.41
100.49	214.51
434.67	153.77
334.74	226.77
303.65	97.66
380.57	209.72
36.29	474.74
668.88	255.65
478.77	334.36
559.35	78.79
21.80	166.97
287.89	378.69
218.26	353.53
304.42	613.75
604.32	487.42
301.20	45.92
284.02	304.56
340.92	531.99
23.16	628.27
629.82	523.61
170.52	106.63
626.58	308.32
241.57	402.67
103.26	54.37
605.62	474.24
33.50	673.76
309.09	689.95
238.66	210.29
33.04	135.51
0.35	333.27
9.96	253.48
437.87	391.86
612.07	561.75
286.07	66.83
111.10	261.53
460.03	612.77
641.74	675.93
524.23	396.87
664.16	694.85
489.74	432.52
168.79	21.49
520.91	238.16
552.72	337.87
676.08	421.58
458.33	542.13
331.39	215.90
491.07	103.83
452.20	19.12
237.89	587.96
577.36	305.52
224.59	200.21
553.85	391.02
85.75	48.37
193.23	290.64
229.15	279.73
423.22	672.45
551.26	495.65
474.14	619.70
606.41	634.76
511.90	133.94
244.61	45.32
34.08	648.54
317.37	34.11
300.09	90.21
320.23	471.65
216.84	167.29
83.01	436.51
591.39	58.61
523.45	116.49
100.21	280.12
661.79	296.49
429.65	275.97
143.20	546.60
396.47	107.37
398.29	567.77
465.24	495.04
285.41	426.17
162.96	318.25
488.61	265.10
183.10	115.43
659.32	454.29
556.01	443.14
539.95	696.90
533.28	579.64
520.37	58.50
582.12	89.88
10.29	493.86
59.25	148.85
597.83	48.47
674.81	567.17
289.39	547.56
462.22	134.33
447.38	676.99
9.84	181.25
498.48	637.97
440.51	308.89
138.40	626.37
194.05	561.16
621.45	92.38
125.92	325.06
447.09	544.33
572.36	475.88
589.44	184.66
412.99	495.37
48.09	59.80
348.13	507.39
496.85	595.63
444.61	116.31
492.58	306.62
8.43	223.55
580.68	593.95
399.94	37.52
149.05	313.36
470.41	87.88
650.49	47.34
585.48	191.98
431.64	484.63
179.39	307.11
425.37	695.84
32.00	122.29
253.71	359.33
241.85	14.18
550.19	610.18
340.56	59.11
362.46	56.29
140.80	140.15
221.82	584.26
669.99	200.37
507.30	269.95
225.61	315.08
655.04	2.75
144.67	461.79
358.26	414.03
158.48	302.40
690.39	64.37
559.24	658.98
280.01	635.37
180.68	648.80
523.27	144.62
92.63	303.32
562.93	573.81
693.15	154.87
51.90	27.54
655.82	83.02
419.54	590.13
679.64	130.45
439.35	562.99
546.97	87.80
82.72	579.47
600.07	200.14
691.38	258.79
395.54	507.31
46.97	437.53
698.12	27.61
250.31	676.58
430.71	308.33
632.48	102.42
635.16	240.12
553.94	206.66
452.87	185.04
427.59	260.19
564.93	662.52
133.02	481.20
131.92	338.68
686.98	396.47
624.35	229.27
181.70	599.63
595.71	74.20
65.63	321.92
122.46	33.04
28.66	376.96
256.71	261.38
280.42	541.55
233.55	424.69
571.54	687.48
142.95	688.16
536.63	133.47
70.90	392.88
352.50	622.21
209.92	450.75
365.24	506.34
434.95	618.87
369.27	25.59
649.22	465.89
661.98	670.09
154.62	71.78
479.56	424.81
208.78	644.05
225.21	593.91
498.37	524.99
166.47	628.43
425.02	238.61
695.39	58.74
176.53	384.63
160.66	130.66
13.51	695.21
284.85	571.31
323.43	367.21
238.16	70.80
240.75	148.88
253.46	648.74
608.94	22.58
610.00	425.81
123.21	680.24
613.52	394.57
276.02	42.26
43.80	400.30
638.46	9.13
485.33	652.91
422.37	210.44
127.68	515.43
605.23	17.29
270.27	272.33
229.75	186.19
49.86	683.56
309.46	152.39
30.37	148.94
452.95	406.40
623.02	646.26
558.93	351.80
556.44	64.44
624.70	80.18
676.53	353.67
352.48	376.89
602.08	262.99
496.90	165.92
475.51	670.58
431.92	546.29
396.84	468.12
298.69	233.25
360.98	129.92
287.87	475.76
172.49	201.08
601.22	167.02
171.10	436.14
676.31	256.45
226.95	696.25
